state,public_use_microdata_area,WhiteNH,BlackNH,AminNH,AsianNH,OtherNH,TwoMore,Hispan,WhiteHispan,BlackHispan,HispanOther
41,00901,86105,967,1509,2095,250,3870,17928,13272,9,4647
41,00800,148659,766,2580,1691,528,7334,12603,8248,53,4302
41,00400,166323,1002,1125,2186,283,5310,15520,10192,98,5230
41,01105,80597,697,457,1595,439,3960,30894,16105,65,14724
41,01104,78533,1605,569,5583,646,4574,21119,9981,347,10791
41,01103,62101,896,864,3520,97,4474,40518,21938,273,18307
41,01200,147099,1310,2325,3381,262,7391,29049,17663,64,11322
41,01303,86648,3986,532,12225,732,5651,10848,6599,257,3992
41,01305,97687,3589,453,8091,604,5528,9656,6001,136,3519
41,01316,107900,7119,1629,8912,224,7273,33493,20415,502,12576
41,01302,70082,8759,1192,19865,296,6080,18850,11043,219,7588
41,01301,85043,14635,892,6288,798,6938,12421,7706,456,4259
41,01314,111032,4402,568,11956,291,6973,10164,5920,100,4144
41,00703,119367,1871,1088,5801,390,7894,16320,7487,154,8679
41,00704,91572,1163,707,4189,139,5531,10840,5108,75,5657
41,00705,96375,632,1092,1297,238,4023,7220,3853,26,3341
54,01300,90397,2644,59,137,146,1279,712,433,0,279
54,00100,116342,2738,213,611,159,2527,1465,931,38,496
54,01100,96894,1874,174,347,176,1799,1211,941,48,222
54,00500,117544,2393,304,761,230,2485,1329,719,85,525
54,00400,209491,13499,393,2233,1363,6040,9669,5728,444,3497
12,03107,80492,54041,424,6977,359,6069,17020,9452,1017,6551
12,03106,86808,12499,82,5836,1373,4151,13617,7876,133,5608
12,12100,72234,23650,209,513,394,1466,9063,5676,374,3013
12,09702,60569,9958,727,5205,983,3275,81430,50987,3357,27086
12,09701,51545,22366,90,4509,1754,3733,117522,78518,3789,35215
12,06100,117635,13013,196,2289,443,3713,19675,14689,43,4943
12,08102,88747,11906,300,1969,129,2119,22867,16732,480,5655
12,08101,96369,14285,169,3449,269,2791,21131,15962,277,4892
12,09100,151136,19636,340,6682,572,9306,19758,8478,650,10630
12,08700,54304,12729,96,1243,392,1338,38392,29115,788,8489
12,00902,106192,2548,253,2262,304,2668,10212,6815,203,3194
12,08615,5029,868,33,349,35,223,107830,85220,1857,20753
12,08601,9081,4847,90,1008,70,439,111044,85997,1328,23719
12,00901,147496,23185,371,3985,838,6297,16384,11488,875,4021
12,00903,98249,7417,277,5529,787,4187,15538,10770,210,4558
12,00904,86377,22146,275,2739,1102,5454,20929,13275,2057,5597
12,01500,155318,9856,451,2543,458,3296,14004,10066,446,3492
12,01900,154754,22644,223,5920,822,8986,21945,11421,1142,9382
12,08500,124652,8405,322,2448,329,1852,21973,14246,584,7143
12,09510,63744,14080,77,8684,681,4455,45479,34210,1525,9744
12,09509,42567,15906,156,10663,940,5020,86980,58353,1903,26724
12,09508,55549,10361,100,7096,763,2954,45484,28966,1554,14964
12,09504,41873,27863,206,4011,845,2608,57474,36113,2826,18535
12,09505,54069,12423,73,4373,964,2574,49304,33209,1360,14735
12,09501,53463,56613,119,3852,1950,4003,36786,21087,2057,13642
12,09503,78928,9148,215,13744,503,4549,37746,25127,829,11790
12,09502,61523,35356,291,10681,2146,5594,33870,19710,1942,12218
12,09507,62598,27755,272,5132,458,3238,23697,13298,2043,8356
12,09506,24558,61516,76,4073,1606,2912,24414,13518,1310,9586
12,01701,129540,3815,378,2508,349,2671,8677,6174,228,2275
12,06902,138456,15188,263,2287,599,1852,12599,8610,765,3224
12,06903,128770,17299,1143,5280,797,4400,39982,26534,1774,11674
12,11300,146703,10520,757,3656,854,6764,10333,5232,283,4818
12,05301,146288,9140,513,2324,1108,4363,26964,18919,824,7221
